City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Comodoro Rivadavia,AR,2022-08-02 03:25:50,-45.8667,-67.5,39.06,60,0,5.75
273,Aumbay,PH,2022-08-02 03:25:50,7.1026,125.7837,84.78,70,75,6.91
274,Warangal,IN,2022-08-02 03:25:51,18.0,79.5833,83.97,70,100,4.25
275,Berlevag,NO,2022-08-02 03:25:51,70.8578,29.0864,55.2,93,100,4.61
276,Saint George,US,2022-08-02 03:24:49,37.1041,-113.5841,91.63,37,0,10.36
277,Saint-Leu,RE,2022-08-02 03:26:52,-21.15,55.2833,67.06,62,0,2.44
278,Suntar,RU,2022-08-02 03:26:52,62.1444,117.6319,65.25,89,100,6.42
279,Kyzyl-Suu,KG,2022-08-02 03:26:53,42.3414,78.0056,64.92,53,62,4.03
280,Khani,GE,2022-08-02 03:26:53,41.9563,42.9566,63.97,95,78,2.84
281,Akyab,MM,2022-08-02 03:26:54,20.15,92.9,85.59,73,99,1.59
282,Muriwai Beach,NZ,2022-08-02 03:26:54,-36.8167,174.45,59.43,65,100,7.52
283,Christchurch,NZ,2022-08-02 03:22:39,-43.5333,172.6333,66.4,39,40,8.05
284,Fershampenuaz,RU,2022-08-02 03:26:54,53.5202,59.8117,59.29,95,100,9.89
285,Bendigo,AU,2022-08-02 03:26:55,-36.7667,144.2833,60.85,46,88,8.99
286,Amboise,FR,2022-08-02 03:26:55,47.4125,0.9827,63.14,88,0,2.3
287,Chiredzi,ZW,2022-08-02 03:26:56,-21.05,31.6667,61.52,87,99,6.53
288,Marabba,SD,2022-08-02 03:26:56,12.35,32.1833,72.97,88,99,11.97
289,Iskateley,RU,2022-08-02 03:26:56,67.6803,53.1512,62.4,89,62,9.44
290,Portoferraio,IT,2022-08-02 03:26:57,42.8115,10.3146,76.15,63,21,2.3
291,Gore,NZ,2022-08-02 03:23:09,-46.1028,168.9436,53.65,63,1,14.34
